
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,暫定値,,
,,,,,,,,,,,,,,,,,,,２０２７年２月１日確定,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
,罪種,"2026年
1～5月","2025年
1～5月",増減,増減率(％）,"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減ポイント,"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減,増減率(％),
九州,宮崎県,107 ,89 ,18 ,20.2 ,81 ,54 ,27 ,50.0 ,16 ,5 ,11 ,220.0 ,75.7 ,60.7 ,15.0 
九州,鹿児島県,373 ,244 ,129 ,52.9 ,79 ,119 ,-40 ,-33.6 ,27 ,33 ,-6 ,-18.2 ,21.2 ,48.8 ,-27.6 
九州,沖縄県,130 ,119 ,11 ,9.2 ,67 ,119 ,-52 ,-43.7 ,41 ,30 ,11 ,36.7 ,51.5 ,100.0 ,-48.5 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（侵入盗－住宅対象）,,,,,,,,,,,,暫定値,
,,,,,,,,,,,,,,,２０２７年２月１日確定,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減,増減率(％）,"2026年
1～5月","2025年
1～5月",増減ポイント
総数,,6216 ,7413 ,-1197 ,-16.1 ,2876 ,3085 ,-209 ,-6.8 ,665 ,691 ,-26 ,-3.8 ,46.3 ,41.6 ,4.7 
